source_id,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,bp_rp,teff_gspphot
65589201492612736,58.24116132131642,22.81598304010699,15.223716951539071,20.66927480978972,5.115250830934909,18.894358,3.1499786,3065.979
65589205789961344,58.23392527243231,22.80537706729804,3.794417418294194,-1.2991548441791148,0.8143405418868985,16.385725,1.2486143,4948.203
65589240149699584,58.22577420074471,22.812091477389355,10.023269874741608,-9.946353102823258,1.4292901798181883,16.599989,1.7662144,4422.9487
65589308869174784,58.24199577668002,22.822477335736,3.8092412359896715,-23.715198628920994,2.2338530124796083,15.986102,1.9208994,4382.01
65589343228910720,58.26252110311128,22.832104949320644,2.8041408869282294,-6.564180037467299,0.7896057549775067,15.541884,1.0822725,5210.408
65589515027484032,58.19337697106713,22.825484741299828,24.81756612855972,-14.078468362330371,1.5739922795970933,14.737015,1.2034435,5417.941
65589721186032256,58.271188633153145,22.83293413911065,-1.6809150123722638,-4.72313464845676,1.3113808004995728,13.010358,0.861804,6623.29
65590064783414656,58.24097526076254,22.865783301261047,-11.694783274128568,-85.8021292805503,12.334694549941402,16.434082,2.9803095,
65591507892418048,58.33312830886698,22.90135964204058,5.352150053922297,3.013208998177146,2.058345375314053,15.886942,1.6657267,4260.7197
65591610971632256,58.337341391175826,22.912441799438355,3.9054053726268485,-9.302515590414016,1.0337771968850584,16.018085,1.2629919,
65591645331374464,58.29235054357457,22.90284529785151,11.731792023754977,-7.6929958027667045,1.8242156987510725,17.373281,2.1189842,3954.6484
65591679691111936,58.303227384060506,22.90533949097659,0.7348807025730724,-9.4697482883359,1.4212270994348482,12.993666,1.4123611,4770.2925
65591885849538944,58.31400555598374,22.934679618057896,-4.595960523912303,-13.813255817692946,1.0679636776311168,16.905382,1.6938362,3867.8687
65592126367703552,58.36494345806413,22.955339953846774,4.596921358345838,8.881175798062122,1.7024316298633715,15.40395,1.3844967,4668.5635
65592195087182336,58.33866500443572,22.944666596368776,15.638268988361219,-15.985582876241596,1.0772584726402412,13.963005,1.1536169,5511.491
65592195087182976,58.33510155089592,22.94472270514075,9.542660500910609,-2.749312739148503,1.1540594972735445,16.198956,1.755229,4232.293
65592263806659200,58.3295755928416,22.949458092498944,-1.9075223479287367,-6.407471144191326,0.7366446072365737,15.7128105,1.0035486,5272.17
